Longitude,Latitude,Decennial Population Count
-73.9412154,40.821253,849
-73.9416987,40.8240268,391
-73.93932,40.8238464,856
-73.9404218,40.8234908,851
-73.9374112,40.8213737,646
-73.9416729,40.8206311,1198
-73.9392869,40.8188098,1725
-73.9383711,40.8200547,1073
-73.9350608,40.8210552,1570
-73.9369499,40.822024,174
-73.9341592,40.8181772,0
-73.9342839,40.8189596,0
-73.980578,40.7811433,379
-73.9781058,40.7807698,393
-73.9785572,40.7802791,1158
-73.9779519,40.7851262,715
-73.975707,40.7841723,932
-73.9752489,40.784818,1075
-73.9728771,40.7829636,1321
-73.9740702,40.7813499,11
-73.9757168,40.779083,973
-73.9740863,40.7902285,719
-73.9745455,40.7896008,859
-73.9710666,40.7903738,263
-73.9728714,40.7880761,780
-73.972413,40.7887042,972
-73.9700331,40.7868799,986
-73.9785373,40.7719546,0
-73.9769117,40.7737373,0
-73.9792642,40.7686813,15
-73.9334225,40.8237923,0
-73.9341845,40.8160172,0
-73.9385302,40.814412,9
-73.9127313,40.8722424,0
-73.9152477,40.8699877,33
-73.9158884,40.8693802,165
-73.9127892,40.8710711,0
-73.9212476,40.8659298,1130
-73.922509,40.8642575,1182
-73.9239337,40.8625022,1857
-73.9212286,40.8691334,416
-73.9191277,40.8676577,198
-73.9196047,40.8665363,1003
-73.9182195,40.866983,1136
-73.9190058,40.8655662,505
-73.9189366,40.8647774,0
-73.9201624,40.8630918,0
-73.9205363,40.8606025,0
-73.91962,40.8618516,165
-73.9187186,40.8630949,569
-73.9117341,40.8722724,0
-73.9172396,40.8683008,767
-73.9165505,40.8688184,25
-73.9289601,40.8565061,133
-73.931484,40.8552923,359
-73.930928,40.8542565,650
-73.9300214,40.8554918,637
-73.9296153,40.8537048,710
-73.9291681,40.8543158,760
-73.9277897,40.856204,962
-73.9277455,40.8537193,780
-73.9297956,40.8488612,339
-73.9302894,40.85045,306
-73.9288153,40.8517871,138
-73.9278442,40.8512865,604
-73.9294403,40.8006288,16
-73.9175793,40.7982865,0
-73.9195319,40.7966586,0
-73.9201562,40.796744,0
-73.9172797,40.7942748,0
-73.9964578,40.7505639,495
-73.9894665,40.7500675,111
-73.9800909,40.750253,442
-73.9780224,40.7501902,135
-73.9759602,40.7501289,0
-74.0008073,40.7548497,60
-73.9982496,40.7582567,0
-73.9987805,40.7623079,28
-74.0007718,40.7598736,0
